Time(s),I-Raw(V),II-Raw(V),III-Raw(V),V1-Raw(V),V2-Raw(V),V3-Raw(V),V4-Raw(V),V5-Raw(V),V6-Raw(V),LA-Raw(V),RA-Raw(V),LL-Raw(V)
0.1125,1.813776,1.541023,1.756154,1.751558,1.580794,1.548775,1.639230,1.569641,1.655646,2.059581,2.039964,1.969362
0.1138,1.817365,1.540498,1.755818,1.751749,1.580268,1.548682,1.638752,1.567680,1.656126,1.926442,1.904988,1.835613
0.1150,1.821576,1.541455,1.755245,1.752276,1.580889,1.549591,1.638371,1.566533,1.656080,1.814735,1.788840,1.721750
0.1163,1.828517,1.542412,1.754715,1.750696,1.579936,1.549591,1.635787,1.562514,1.654930,1.608759,1.575402,1.505463
0.1175,1.839046,1.542412,1.753759,1.748735,1.578164,1.549876,1.632817,1.556815,1.652535,1.217493,1.179007,1.110854
0.1187,1.848665,1.543080,1.754573,1.745959,1.576437,1.550260,1.630663,1.551601,1.651196,0.808594,0.764836,0.701190
0.1200,1.852924,1.541645,1.754095,1.745433,1.576487,1.551936,1.630808,1.549926,1.651246,0.603106,0.558570,0.501737
0.1212,1.851394,1.541645,1.753759,1.746005,1.576581,1.552703,1.631861,1.551838,1.650956,0.644866,0.599564,0.546399
0.1225,1.845601,1.540544,1.751894,1.748400,1.577782,1.553514,1.634111,1.556578,1.653065,0.903188,0.859592,0.810311
0.1237,1.835793,1.540210,1.750076,1.751366,1.579837,1.554089,1.636695,1.562945,1.655216,1.349138,1.307707,1.257080
0.1250,1.825070,1.539109,1.748112,1.754669,1.581558,1.554182,1.640186,1.569835,1.657229,1.863932,1.829463,1.775214
0.1263,1.816169,1.539158,1.747392,1.756632,1.582566,1.552320,1.642104,1.574624,1.658374,2.282215,2.251486,2.188701
0.1275,1.811382,1.539732,1.749498,1.756824,1.582328,1.550692,1.642152,1.575626,1.657848,2.425291,2.398395,2.329741
0.1288,1.810952,1.539299,1.750123,1.756057,1.582134,1.549542,1.641384,1.575146,1.657178,2.417660,2.394561,2.323399
0.1300,1.810427,1.540066,1.752561,1.755436,1.581558,1.548632,1.640761,1.574047,1.656320,2.327742,2.307844,2.235527
0.1313,1.811575,1.539443,1.754142,1.755387,1.581608,1.547865,1.639902,1.572178,1.655840,2.197786,2.179361,2.107260
0.1325,1.814541,1.539348,1.755198,1.754861,1.581658,1.547964,1.639230,1.570460,1.656509,2.057243,2.038047,1.966873
0.1338,1.818035,1.540593,1.755387,1.755004,1.581464,1.548923,1.638946,1.568445,1.656795,1.924721,1.902701,1.833835
0.1350,1.821004,1.541072,1.755771,1.754620,1.581464,1.549591,1.638704,1.567061,1.656652,1.812332,1.787016,1.719794
0.1363,1.826841,1.541455,1.755434,1.752325,1.579405,1.548583,1.636072,1.562751,1.654021,1.602297,1.569992,1.499091
0.1375,1.837228,1.542172,1.755434,1.748973,1.577876,1.548874,1.633343,1.556002,1.651962,1.210609,1.173659,1.104927
0.1388,1.847660,1.542746,1.754862,1.745911,1.575911,1.549400,1.631050,1.550405,1.650000,0.803139,0.759859,0.696004
0.1400,1.853117,1.542795,1.753806,1.745959,1.576055,1.551410,1.631141,1.549349,1.649714,0.601287,0.556345,0.499514
0.1412,1.851394,1.541455,1.752277,1.747107,1.577013,1.552128,1.632339,1.551649,1.650573,0.646782,0.601728,0.548651
0.1425,1.844789,1.539493,1.751752,1.749643,1.578452,1.553613,1.635116,1.556341,1.652156,0.909617,0.866455,0.816031
0.1437,1.835458,1.540259,1.749882,1.752133,1.580462,1.554615,1.637603,1.563231,1.654450,1.353750,1.313395,1.262237
0.1450,1.824593,1.539683,1.747539,1.755101,1.582898,1.554182,1.640858,1.570460,1.657035,1.868186,1.833914,1.779689
0.1462,1.815976,1.539971,1.747108,1.756967,1.583667,1.552988,1.641766,1.575049,1.657178,2.284618,2.253310,2.191428
0.1475,1.812245,1.540977,1.749068,1.757110,1.583042,1.551361,1.641433,1.575674,1.656509,2.425746,2.398178,2.329119
0.1487,1.809757,1.540498,1.750507,1.757013,1.582472,1.549783,1.640186,1.574715,1.655743,2.417952,2.394252,2.323191
0.1500,1.810810,1.540305,1.751269,1.756152,1.581276,1.548583,1.639042,1.573282,1.654690,2.326151,2.305958,2.233126
0.1512,1.812581,1.539683,1.753711,1.756009,1.581514,1.547915,1.637651,1.570217,1.654261,2.196617,2.177475,2.105275
0.1525,1.814304,1.539158,1.754956,1.755579,1.581420,1.548441,1.637173,1.568014,1.654690,2.055554,2.035605,1.964857
0.1537,1.817845,1.540639,1.755434,1.755387,1.581846,1.549109,1.637415,1.566678,1.655503,1.923195,1.901310,1.831908
0.1550,1.821241,1.541455,1.754956,1.755052,1.582615,1.550402,1.637845,1.566150,1.655886,1.810806,1.784976,1.717719
0.1562,1.827894,1.542412,1.754667,1.752754,1.580889,1.550068,1.635739,1.562514,1.654164,1.599797,1.566096,1.495742
0.1575,1.838281,1.543273,1.754767,1.749548,1.578735,1.549734,1.632484,1.556767,1.652105,1.209310,1.169887,1.101637
0.1588,1.848188,1.542841,1.754526,1.747347,1.577876,1.550643,1.630427,1.551364,1.651053,0.801548,0.756304,0.693188
0.1600,1.852542,1.541979,1.754284,1.747490,1.577445,1.552177,1.629804,1.550260,1.650956,0.598852,0.552758,0.496491
0.1613,1.851536,1.540878,1.752992,1.748590,1.577732,1.552654,1.630282,1.552080,1.651099,0.647301,0.600955,0.548592
0.1625,1.844931,1.539299,1.751221,1.750936,1.578308,1.553755,1.632484,1.556627,1.652631,0.911241,0.867197,0.817009
0.1638,1.834929,1.538153,1.748353,1.753424,1.580219,1.554758,1.635401,1.563182,1.654880,1.358880,1.317600,1.266060
0.1650,1.825216,1.539637,1.745911,1.756535,1.582804,1.554807,1.638994,1.570697,1.657035,1.873154,1.838088,1.782771
0.1663,1.816694,1.539109,1.745769,1.757302,1.583618,1.552939,1.639950,1.574909,1.657755,2.286047,2.254268,2.191339
0.1675,1.812100,1.540977,1.747823,1.756918,1.583524,1.551076,1.640622,1.575340,1.656795,2.423797,2.395798,2.326837
0.1688,1.809087,1.541694,1.752325,1.757205,1.582804,1.549832,1.641051,1.574861,1.655789,2.411815,2.389862,2.319457
0.1700,1.807841,1.542651,1.757110,1.757828,1.582422,1.550019,1.641003,1.573999,1.655073,2.317643,2.299992,2.230074
0.1713,1.808558,1.544423,1.762710,1.758307,1.583042,1.551076,1.641911,1.572178,1.655170,2.184537,2.169406,2.102074
0.1725,1.809181,1.548011,1.768646,1.759120,1.583524,1.553180,1.643490,1.571079,1.655789,2.039383,2.025403,1.961420
0.1737,1.809899,1.551791,1.773957,1.760986,1.584526,1.555766,1.645214,1.569307,1.655789,1.901730,1.887181,1.828471
0.1750,1.810712,1.553754,1.778742,1.763427,1.586779,1.559880,1.646842,1.567874,1.656223,1.784016,1.768993,1.713896
0.1762,1.814588,1.555811,1.780896,1.764145,1.589647,1.562225,1.646122,1.564141,1.653398,1.566155,1.545414,1.488007
0.1775,1.822724,1.554088,1.780849,1.764432,1.592997,1.563995,1.643157,1.556578,1.648754,1.173590,1.149205,1.091768
0.1787,1.832488,1.552079,1.780082,1.764912,1.595681,1.565529,1.641003,1.549689,1.645120,0.768393,0.739053,0.685186
0.1800,1.837658,1.551218,1.778553,1.766681,1.598168,1.568159,1.641481,1.548633,1.644737,0.572971,0.542587,0.495009
0.1812,1.837035,1.549927,1.777261,1.768021,1.600609,1.570553,1.644639,1.552797,1.646409,0.624570,0.592577,0.549185
0.1825,1.833254,1.551408,1.774771,1.770319,1.603671,1.574766,1.651101,1.561890,1.651196,0.893381,0.861168,0.822018
0.1837,1.824688,1.550690,1.771325,1.773287,1.607120,1.578355,1.657993,1.573088,1.656555,1.343650,1.313179,1.272758
0.1850,1.814541,1.549734,1.767637,1.776779,1.612430,1.581132,1.664599,1.584718,1.662062,1.859678,1.835182,1.790980
0.1862,1.806598,1.546241,1.762852,1.778742,1.618603,1.582518,1.668472,1.593240,1.665700,2.273285,2.251609,2.196021
0.1875,1.803246,1.543657,1.759358,1.779699,1.626692,1.584956,1.671679,1.598218,1.667994,2.415744,2.396076,2.330808
0.1888,1.805064,1.539299,1.753853,1.779509,1.636840,1.589312,1.675509,1.603383,1.671443,2.412691,2.394036,2.322480
0.1900,1.810952,1.537864,1.748400,1.777786,1.648854,1.596780,1.680821,1.609750,1.676945,2.329658,2.308895,2.234075
0.1913,1.821052,1.537147,1.741078,1.775440,1.662872,1.606976,1.689147,1.617933,1.685130,2.210385,2.181617,2.107201
0.1925,1.831723,1.538297,1.734138,1.772952,1.674217,1.618749,1.697284,1.628318,1.694893,2.080786,2.042252,1.969184
0.1938,1.844883,1.538103,1.723417,1.768356,1.679387,1.627028,1.703553,1.637271,1.703987,1.961318,1.911419,1.838517
0.1950,1.858859,1.536475,1.710305,1.762566,1.679194,1.632484,1.707860,1.645357,1.713128,1.863704,1.799815,1.726877
0.1963,1.876472,1.535997,1.698197,1.752516,1.675080,1.637125,1.711545,1.651244,1.721169,1.660586,1.578400,1.501877
0.1975,1.898489,1.539348,1.688673,1.741460,1.669001,1.645360,1.718678,1.660100,1.732221,1.280491,1.181295,1.109195
0.1988,1.921508,1.541979,1.679433,1.729351,1.660193,1.655073,1.727966,1.671008,1.744569,0.886594,0.769814,0.705873
0.2000,1.937492,1.542028,1.667136,1.719350,1.650908,1.664212,1.737151,1.683979,1.756585,0.709032,0.578696,0.522245
0.2013,1.947544,1.540115,1.654308,1.710781,1.639807,1.669576,1.745863,1.698098,1.767637,0.776511,0.633880,0.579681
0.2025,1.951326,1.537337,1.639951,1.703937,1.628126,1.672397,1.752851,1.712120,1.777211,1.059318,0.908283,0.854707
0.2037,1.950510,1.530925,1.623488,1.700108,1.617263,1.670534,1.753184,1.720738,1.781804,1.522414,1.365951,1.304439
0.2050,1.945726,1.518244,1.603337,1.698530,1.606544,1.660388,1.743376,1.719112,1.778407,2.055359,1.898682,1.822010
0.2062,1.941321,1.504218,1.584000,1.697669,1.596778,1.646505,1.728105,1.708198,1.768980,2.476208,2.317644,2.219760
0.2075,1.940509,1.490770,1.567826,1.696424,1.586347,1.630424,1.708054,1.688817,1.753760,2.619934,2.463842,2.345004
0.2087,1.939168,1.475837,1.555334,1.694318,1.573331,1.612767,1.687041,1.666273,1.737202,2.616134,2.463935,2.327607
0.2100,1.938403,1.466074,1.549162,1.690299,1.558493,1.596495,1.670148,1.645933,1.723464,2.527970,2.379475,2.233512
0.2112,1.936344,1.461386,1.548248,1.686326,1.541264,1.581176,1.654834,1.628318,1.710972,2.395806,2.252166,2.100681
0.2125,1.932227,1.457556,1.552461,1.683072,1.520729,1.564713,1.640670,1.611183,1.699247,2.249255,2.110760,1.957656
0.2137,1.928114,1.458467,1.560887,1.679912,1.499624,1.547865,1.628369,1.594770,1.688671,2.106050,1.972198,1.821951
0.2150,1.922033,1.460620,1.572517,1.678046,1.477512,1.527145,1.613099,1.576725,1.676992,1.978658,1.852062,1.704650
0.2162,1.916914,1.461288,1.582903,1.675510,1.451479,1.499291,1.590652,1.551746,1.659763,1.742808,1.619950,1.468477
0.2175,1.915668,1.458752,1.592521,1.675318,1.427118,1.470813,1.566771,1.523509,1.641815,1.335045,1.219166,1.067466
0.2188,1.914280,1.452865,1.599749,1.676850,1.407924,1.444345,1.544039,1.498617,1.625160,0.920463,0.810344,0.659818
0.2200,1.906384,1.446644,1.604724,1.681541,1.393662,1.418984,1.524272,1.480049,1.611952,0.722671,0.622936,0.472782
0.2213,1.892984,1.439082,1.608028,1.688622,1.380789,1.393951,1.505510,1.464158,1.598215,0.769140,0.680747,0.526543
0.2225,1.876519,1.431282,1.610324,1.698674,1.373802,1.375379,1.492683,1.453105,1.587639,1.033274,0.956882,0.799257
0.2238,1.857901,1.426207,1.612241,1.709825,1.376194,1.368536,1.488810,1.451333,1.582519,1.476172,1.411768,1.247271
0.2250,1.839764,1.426112,1.616596,1.718008,1.385047,1.371938,1.494171,1.456789,1.582279,1.984861,1.933183,1.765019
0.2263,1.826028,1.425968,1.621717,1.722699,1.397731,1.378973,1.499865,1.463156,1.581896,2.382069,2.338759,2.163332
0.2275,1.820188,1.427596,1.626692,1.724805,1.411134,1.386818,1.504124,1.466458,1.581323,2.508844,2.472035,2.291836
0.2288,1.818275,1.431282,1.632581,1.725905,1.423957,1.394477,1.508432,1.469906,1.582085,2.492412,2.460163,2.280604
0.2300,1.818370,1.437359,1.640954,1.727916,1.435684,1.403331,1.513744,1.473063,1.584767,2.393792,2.365223,2.191013
0.2313,1.819806,1.444203,1.650095,1.728778,1.446740,1.413478,1.520920,1.476176,1.587639,2.257861,2.230742,2.064317
0.2325,1.821194,1.453632,1.660769,1.729016,1.456456,1.424534,1.529348,1.480577,1.591562,2.110401,2.083214,1.925945
0.2338,1.823059,1.462772,1.671921,1.729831,1.465359,1.435875,1.538200,1.485888,1.596013,1.969663,1.941808,1.795248
0.2350,1.823875,1.471244,1.681828,1.731074,1.473874,1.446881,1.546338,1.490386,1.600320,1.848052,1.818890,1.681978
0.2362,1.828517,1.480384,1.691541,1.729877,1.480435,1.455450,1.551602,1.492735,1.602762,1.616780,1.581708,1.449747
0.2375,1.837611,1.487805,1.700923,1.727724,1.486513,1.463586,1.556194,1.492255,1.605683,1.217298,1.178203,1.055138
0.2387,1.846942,1.493116,1.706759,1.726623,1.493213,1.471722,1.561700,1.493166,1.608218,0.810640,0.767650,0.655965
0.2400,1.850581,1.499147,1.712028,1.727868,1.502115,1.481436,1.569069,1.497901,1.612576,0.622557,0.578263,0.478976
0.2412,1.850771,1.502639,1.714182,1.729639,1.512358,1.490196,1.577255,1.505701,1.617598,0.678735,0.632829,0.541568
0.2425,1.846800,1.506708,1.715280,1.732224,1.523796,1.499384,1.587160,1.516517,1.624250,0.952027,0.906304,0.822759
0.2437,1.838423,1.510921,1.717292,1.736483,1.534465,1.508046,1.597307,1.529106,1.630330,1.401550,1.357326,1.276789
0.2450,1.826458,1.514030,1.719446,1.742465,1.545616,1.516423,1.607738,1.543225,1.636839,1.916960,1.879731,1.800672
0.2462,1.817510,1.518768,1.723895,1.747156,1.553992,1.522932,1.615682,1.553276,1.641815,2.312870,2.279248,2.196170
0.2475,1.813488,1.522932,1.729400,1.749932,1.560835,1.527145,1.620613,1.557629,1.644640,2.437533,2.408195,2.322954
0.2487,1.810857,1.525805,1.734711,1.751366,1.565530,1.530925,1.623487,1.560074,1.645693,2.421199,2.396323,2.311277
0.2500,1.812245,1.528101,1.739213,1.753043,1.569306,1.533703,1.625925,1.561076,1.647609,2.325729,2.303763,2.220205
0.2512,1.814111,1.530925,1.742659,1.754955,1.572036,1.536048,1.627317,1.560888,1.648084,2.193824,2.173054,2.090694
0.2525,1.815929,1.531643,1.745002,1.755722,1.574045,1.537817,1.628369,1.559686,1.648084,2.051528,2.030009,1.950750
0.2537,1.818658,1.532983,1.746677,1.757348,1.576869,1.540546,1.630040,1.559352,1.648851,1.917837,1.894044,1.818039
0.2550,1.822104,1.535617,1.747970,1.757923,1.578258,1.543466,1.631093,1.558636,1.649760,1.803142,1.775918,1.702842
0.2562,1.829187,1.538775,1.749498,1.756200,1.578735,1.543800,1.629181,1.555522,1.648564,1.575994,1.540869,1.465987
0.2575,1.838088,1.538919,1.750265,1.753424,1.577921,1.544085,1.626930,1.549780,1.646985,1.180636,1.141445,1.067970
0.2587,1.846847,1.537674,1.751221,1.750553,1.577251,1.545329,1.624824,1.544323,1.644687,0.778037,0.735127,0.667286
0.2600,1.851299,1.537337,1.750985,1.750458,1.578164,1.547438,1.625211,1.543849,1.645070,0.595117,0.551584,0.490742
0.2612,1.848713,1.536619,1.750649,1.752228,1.579216,1.548874,1.626597,1.546958,1.645933,0.655777,0.612054,0.555319
0.2625,1.842347,1.536764,1.749598,1.754766,1.581132,1.550977,1.630282,1.552845,1.647655,0.932738,0.890228,0.836925
